Sequence,Group,SCOP sunid
d1kdga2,group131,54373
d1p1ja2,group149,55347
d1nlwa_,group22,47459
d1ngr__,group36,47986
d1ktja_,group408,81296
d1nox__,group302,55469
d1bb8__,group127,54171
d1jiga_,group26,47240
d1dwma_,group268,54654
d1rypg_,group336,56235
d3ebx__,group181,57302
d1sh1__,group369,57392
d1mtyg_,group13,47152
d1aoca_,group187,57501
d1mb8a1,group24,47576
d1mb8a2,group36,47576
d1fmja_,group191,52540
d1sva1_,group421,88648
d1ojt_2,group167,51905
d1ojt_3,group299,55424
d1c2ya_,group174,52121
d1aisa1,group324,55945
d1j7na2,group152,55486
d1n8pa_,group215,53383
d1j7na1,group152,55486
d1de4c1,group29,47672
d1c0va_,group205,81333
d1jafa_,group23,47175
d1dfca4,group122,50405
d1k3xa1,group203,46946
d1nj8a2,group145,64586
d1nj8a1,group202,52954
d1k3xa2,group416,81624
d1ile_1,group28,47323
d1ile_2,group129,50677
d1hjza_,group103,52949
d1ocrg_,group207,81411
d1p4ua_,group85,49348
d1ep7a_,group198,52833
d1cbs__,group133,50814
d1hf2a1,group76,63848
d1dpe__,group237,53850
d1o0wa2,group139,54768
d2pth__,group107,53178
d1l9ka_,group111,53335
d1h59b_,group180,57184
d1mm0a_,group362,57095
d1feca3,group299,55424
d1b9la_,group155,55620
d1l3ka2,group283,54928
d1jeia_,group398,63451
d1aoea_,group218,53597
d1ac5__,group217,53474
d1hkqa_,group10,46785
d1xaa__,group223,53659
d1h8ca_,group130,54236
d1oxja2,group42,48371
d1oxja1,group31,47769
d1deua_,group242,54001
d1jj2b_,group64,50447
d1rcd__,group26,47240
d1ast__,group152,55486
d1ck9a_,group296,55315
d1bkca_,group303,55486
d1g85a_,group133,50814
d1nfdb1,group78,48726
d1tfe__,group272,54713
d1o8ua_,group172,52096
d1jqea_,group111,53335
d1jdw__,group162,55909
d1n8yc4,group363,57184
d1qvca_,group116,50249
d1k82a1,group203,46946
d1tfi__,group196,57783
d1f5xa_,group55,48065
d1fjgt_,group7,46992
d1sty__,group62,50199
d1k92a1,group92,52402
d1hula_,group16,47266
d1axib2,group79,49265
d1qo8a1,group77,48695
d1jmsa1,group31,47802
d1kf6d_,group206,81343
d1ikza_,group196,52799
d1cfr__,group105,52980
d1n8va_,group42,48371
d1eiha_,group245,54117
d1jkma_,group217,53474
d1lqsl_,group27,47266
d1fcdc2,group3,46626
d1i1rb_,group27,47266
d1exma1,group123,50447
d1krha1,group64,63380
d1cc5__,group3,46626
d1m94a_,group251,54236
d1ckqa_,group105,52980
d1ml4a2,group115,53671
d1aoa_1,group36,47576
d1aoa_2,group24,47576
d1ml4a1,group224,53671
d1cf2o2,group149,55347
d1oafa_,group57,48113
d1a4ma_,group158,51556
d1m7xa2,group73,51011
d4fiv__,group128,50630
d1n9ra_,group113,50182
d1g61a_,group162,55909
d1otra_,group5,46934
d1smva_,group419,88633
d1k2ea_,group160,55811
d1m1nb_,group118,53807
d1nbwb_,group104,52968
d1erv__,group198,52833
d1cuna1,group15,46966
d1l0oc_,group423,88659
d1cuna2,group15,46966
d1czan2,group106,53067
d1czan3,group205,53067
d1czan1,group106,53067
d1g2qa_,group109,53271
d1efpa1,group184,52402
d1k3ka_,group178,56854
d1erp__,group18,47014
d1ivoa4,group363,57184
d1akjd_,group78,48726
d1n1ja_,group12,47113
d1kt1a1,group70,48452
d1knva_,group203,52980
d1atla_,group303,55486
d1khma_,group275,54791
d1nuba3,group374,57467
d1g9mh1,group78,48726
d1hwxa2,group210,53223
d1cfza_,group107,53163
d1ghpa_,group346,56601
d1e87a_,group343,56436
d1hn0a1,group40,48230
d1lr7a2,group374,57467
d1o9aa2,group190,57603
d1m4va2,group256,54334
d1kqfb1,group278,54862
d1kdu__,group373,57440
d1fp1d1,group4,46785
d1qg7a_,group245,54117
d1hk8a_,group84,51998
d1kj6a_,group183,57392
d1is2a1,group19,47203
d1klih_,group126,50494
d1is2a3,group348,56645
d1is2a2,group19,47203
d1ds1a_,group78,51197
d1jnra3,group174,56425
d1i40a_,group62,50324
d1la6a_,group1,46458
d1ew6a_,group1,46458
d1kn6a_,group279,54897
d1fjla_,group7,46689
d1ibrd_,group42,48371
d1o6wa2,group74,51045
d1kz1a_,group174,52121
d1gyva_,group85,49348
d1l1pa_,group264,54534
d1j2pa_,group336,56235
d1k1ea_,group177,56784
d1b5qa2,group131,54373
d1keia_,group303,55486
d7gata_,group194,57716
d1aj8a_,group64,48256
d1f2va_,group90,63965
d1ijta_,group119,50353
d1kg0c_,group175,56436
d1b8aa2,group156,55681
d1di0a_,group174,52121
d1qk7a_,group361,57059
d3fapb_,group14,47212
d1f13a4,group242,54001
d1l0lk_,group207,81518
d2pia_2,group91,52343
d1j0ma1,group62,48230
d1f13a3,group81,49309
d1f13a2,group81,49309
d1euaa_,group159,51569
d2pvba_,group23,47473
d1awj__,group108,50044
d1ka1a_,group349,56655
d1n97a_,group65,48264
d1f0xa2,group167,56176
d1gtra2,group183,52374
d1o9aa1,group190,57603
d1zfd__,group383,57667
d1jssa_,group326,55961
d1g5ba_,group338,56300
d1iq8a4,group132,88802
d1jsda_,group53,49818
d1knga_,group101,52833
d1dqva1,group93,49562
d1jjya_,group353,56821
d1nbfa_,group125,54001
d1lkna_,group78,51182
d1g2ta_,group245,54117
d1k0ra3,group141,54814
d1g62a_,group321,55909
d1j4wa2,group275,54791
d1wba__,group121,50386
d1j4wa1,group275,54791
d1a12a_,group72,50985
d1f1za1,group4,46785
d1f1za2,group105,52980
d1e30a_,group49,49503
d1h8la2,group209,53187
d1h8la1,group48,49464
d1lnia_,group123,53933
d1avgi_,group69,50814
d1eur__,group136,50939
d1lw6i_,group268,54654
d1dz4a_,group65,48264
d1tca__,group114,53474
d1skz_1,group366,57262
d1fnua1,group114,50203
d1hcc__,group377,57535
d1j3ua_,group75,48557
d1jgka_,group367,57302
d1nd9a_,group6,46955
d1c1yb_,group251,54236
d1kw3b2,group135,54593
d1kw3b1,group135,54593
d2bpa2_,group208,88645
d1i5pa1,group52,49785
d1i5pa3,group355,56849
d1i5pa2,group75,51096
d1pina2,group134,54534
d1acz__,group90,49452
d1pina1,group74,51045
d1jmaa_,group46,48726
d2hsp__,group108,50044
d1b8wa_,group369,57392
d1k78a1,group7,46689
d1k78a2,group7,46689
d1jc6a_,group368,57362
d3tss_1,group114,50203
d1kuua_,group169,75569
d1qqra_,group130,54328
d1eiya1,group2,46589
d1g0ha_,group349,56655
d1my6a1,group5,46609
d1nrga_,group125,50475
d1pwt__,group108,50044
d1nsza_,group56,74650
d1dhpa_,group159,51569
d1ht6a1,group73,51011
d1faoa_,group131,50729
d1cuk_1,group5,46929
d1xxaa_,group146,55252
d1erd__,group9,47014
d1fyja_,group10,47060
d1hxma1,group78,48726
d1ddma_,group131,50729
d1hiwa_,group47,47836
d1knaa_,group246,54160
d1k0ia2,group131,54373
d1qi7a_,group340,56371
d1mmc__,group360,57016
d1bjx__,group198,52833
d1af8__,group29,47336
d1jcla_,group159,51569
d1ky8a_,group229,53720
d1bj7__,group133,50814
d1qnf_2,group185,52425
d1mtza_,group217,53474
d1k3pa_,group64,48256
d1gvza_,group126,50494
d1j36a_,group303,55486
d1gxqa_,group11,46894
d1gab__,group17,46997
d2f3ga_,group150,51261
d1iqpa1,group37,48019
d1hrka_,group234,53800
d1i58a_,group161,55874
d1f2da_,group116,53686
d1g9ga_,group40,48208
d1tsk__,group362,57095
d1avqa_,group105,52980
d1jj2s_,group58,50104
d1ja9a_,group166,51735
d1p5vb_,group47,49401
d1uxc__,group21,47413
d1hyqa_,group191,52540
d1i8fa_,group113,50182
d1ee6a_,group76,51126
d1f46a_,group163,64383
d1ei9a_,group114,53474
d1i1ip_,group152,55486
d1kzqa1,group49,74877
d1jaya_,group82,51735
d1rgs_1,group147,51206
d1omwa1,group56,48097
d1jfba_,group65,48264
d1rgs_2,group147,51206
d1oc7a_,group168,51989
d1ash__,group1,46458
d1dq3a4,group154,55608
d1ayx__,group61,48208
d1iufa2,group7,46689
d1iufa1,group7,46689
d1dx5i1,group180,57196
d1lzla_,group114,53474
d1npya2,group108,53223
d1bhta1,group184,57414
d1ej2a_,group92,52374
d1pama2,group90,49452
d1pama4,group157,51445
d1elua_,group112,53383
d1obr__,group209,53187
d1bkpa_,group317,55831
d1mjna_,group110,53300
d1fcya_,group72,48508
d1jb3a_,group62,50242
d1hcia4,group7,46966
d1hcia1,group7,46966
d1qaza_,group40,48230
d1a4ea_,group347,56634
d1i1na_,group214,53335
d1lmb3_,group21,47413
d1ckta_,group21,47095
d1qtfa_,group126,50494
d1l0ba1,group88,52113
d1azsa_,group142,55073
d1is3a_,group55,49899
d1tsg__,group175,56436
d1jhga_,group4,48295
d1nixa_,group361,57059
d1f1ua2,group135,54593
d1f1ua1,group135,54593
d1kmoa_,group359,56935
d1bmr__,group362,57095
d1f2na_,group419,88633
d2mev1_,group208,88633
d1hv9a2,group216,53448
d2gsta1,group38,47616
d1je3a_,group401,64307
d1nekb1,group2,46548
d1nekb2,group254,54292
d1n2ea_,group92,52374
d3crd__,group36,47986
d1kqra_,group55,49899
d1khta_,group97,52540
d1jj2a1,group110,50104
d1nezg_,group46,48726
d1nqla2,group171,52058
d1nqla3,group363,57184
d1ryph_,group336,56235
d1nqla1,group171,52058
d1lvmb_,group66,50494
d1nqla4,group363,57184
d1j34a_,group343,56436
d1hx6a1,group208,49749
d1gkga2,group377,57535
d1e4ft1,group106,53067
d1hx6a2,group97,49749
d1jpc__,group142,51110
d1n8yc2,group171,52058
d1dbga_,group76,51126
d1lsha1,group42,48431
d1e79a2,group127,50615
d1e79a3,group97,52540
d1e79a1,group50,47917
d1mtyb_,group15,47240
d1nwwa_,group132,54427
d1oh0a_,group132,54427
d1emxa_,group361,57059
d1e52a_,group2,46600
d1o08a_,group177,56784
d1eeoa_,group100,52799
d1jb0i_,group207,81540
d1ofda3,group169,56235
d1ej8a_,group46,49329
d1m0ga_,group392,57868
d1ng0a_,group419,88633
d1k1xa1,group8,88688
d1d0qa_,group196,57783
d1efaa1,group33,47413
d1jc9a_,group344,56496
d1qd9a_,group294,55298
d1jhwa3,group311,55753
d1nc5a_,group40,48208
d1d1ha_,group361,57059
d2cnd_1,group396,63380
d2cnd_2,group182,52343
d1j6ya_,group264,54534
d1a2oa1,group176,52172
d1jmxa4,group46,81296
d1jmxa5,group70,69298
d1aye_2,group279,54897
d1jl5a_,group171,52058
d1icra_,group302,55469
d1rypf_,group336,56235
d1gpja3,group142,69742
d1qhxa_,group97,52540
d1o0xa_,group322,55920
d1jgca_,group15,47240
d1muga_,group89,52141
d1h7va_,group389,57802
d1cyx__,group49,49503
d1fbva4,group197,57850
d1m7ka_,group7,63491
d1ja1a3,group182,52343
d1ja1a2,group177,52218
d1ja1a1,group396,63380
d1ggpb1,group120,50370
d1jkna_,group316,55811
d1byka_,group236,53822
d1lh0a_,group109,53271
d1czpa_,group130,54292
d1hzpa2,group238,53901
d1aua_1,group5,46938
d1n5ua3,group74,48552
d1n5ua2,group74,48552
d1n5ua1,group74,48552
d3tdt__,group77,51161
d1k7ia2,group303,55486
d1gzqa2,group133,54452
d1flei_,group180,57256
d1poxa2,group96,52518
d1poxa3,group190,52518
d1poxa1,group94,52467
d2pola3,group164,55979
d2pola2,group164,55979
d2pola1,group164,55979
d1atza_,group110,53300
d1dnya_,group18,47336
d1m0da_,group105,52980
d1tf4a2,group87,49384
d1xnb__,group105,49899
d1aw9_1,group38,47616
d1bupa2,group106,53067
d1dl6a_,group388,57783
d1bupa1,group106,53067
d1k2yx4,group163,55957
d1h70a_,group162,55909
d1e9ma_,group254,54292
d1k2yx1,group117,53738
d1k2yx2,group117,53738
d1k2yx3,group117,53738
d1wer__,group41,48350
d1kv9a1,group6,46626
d1qq5a_,group352,56784
d1mv8a3,group92,52413
d1ocrk_,group207,81423
d1bqya_,group126,50494
d1n1jb_,group12,47113
d1nekc_,group206,81343
d1iica2,group310,55729
d1awcb_,group69,48403
d1qm4a2,group327,55973
d1dlwa_,group1,46458
d1ki1b1,group55,48065
d1j0ma3,group407,74650
d1rmva_,group24,47195
d1mwma2,group106,53067
d1nyta1,group82,51735
d1hyoa1,group58,63433
d1qsma_,group157,55729
d1lwra_,group79,49265
d1o7na1,group57,50022
d1eso__,group84,49329
d1d4va1,group189,57586
d1d4va3,group189,57586
d1eswa_,group81,51445
d1mvoa_,group176,52172
d1n83a_,group72,48508
d1l5pa_,group130,54292
d1or5a_,group18,47336
d1dl5a1,group214,53335
d1e5ka_,group113,53448
d1cpt__,group65,48264
d1p22a2,group137,50978
d1h4ra1,group19,47031
d1h4ra3,group130,54236
d1h4ra2,group68,50729
d1e4mm_,group157,51445
d1fx7a3,group58,50037
d1eqfa1,group32,47370
d1ak0__,group73,48537
d1a87__,group354,56837
d1a1s_2,group224,53671
d1hsm__,group21,47095
d1a17__,group70,48452
d1jae_1,group138,51011
d1gai__,group40,48208
d1byfa_,group343,56436
d1hfes_,group44,48674
d1dl0a_,group361,57059
d1ug6a_,group81,51445
d1jyra_,group305,55550
d1mv8a1,group39,48179
d1mv8a2,group82,51735
d1imt_2,group180,57190
d1dnv__,group208,88645
d1i11a_,group21,47095
d1dqga_,group63,50370
d1imt_1,group364,57190
d1grwa_,group46,49354
d1j5pa3,group149,55347
d1fnf_1,group79,49265
d1h2ea_,group211,53254
d1dyka2,group55,49899
d1dyka1,group105,49899
d1g86a_,group105,49899
d1l9na4,group125,54001
d1b8pa2,group172,56327
d1l9na2,group81,49309
d1l9na3,group81,49309
d1kzka_,group128,50630
d1l9na1,group46,81296
